ADM0_EN,ADM0_PCODE,date,validOn,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,Total_Overall_PIN,PIN_Boys,PIN_MaleAdults,PIN_MaleElderly,PIN_Girls,PIN_FemaleAdults,PIN_FemaleElderly,PIN_Disability,Total Wellbeing_PIN,cluster-v4_Agriculture,cluster-v4_Education,cluster-v4_ESNFI,cluster-v4_Health,cluster-v4_Food,cluster-v4_Nutrition,cluster-v4_Protection,cluster-v4_WASH
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,North Western,ET0101,Tahtay Adiyabo,ET010101,222.625,69.65594528,29.57083069,3.402574824,68.4997687,47.27316165,4.222718853,37.84625,222.625,-,-,71,223,-,223,12,12
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,North Western,ET0101,Laelay Adiabo,ET010102,690,190.7119052,140.045861,7.666881118,180.4028082,164.8910536,6.281490876,2.180421409,442.125,-,231,475,687,686,365,477,686
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,North Western,ET0101,Medebay Zana,ET010103,461.5,110.7310621,113.4866527,6.474739398,118.6288725,105.0230812,7.155592101,43.165,461.5,-,170,-,462,291,462,237,291
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,North Western,ET0101,Tahtay Koraro,ET010104,282.75,81.8382014,50.88901549,3.703273431,75.77249709,66.53403824,4.012974353,21.6975,282.75,-,77,96,283,259,283,161,259
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,North Western,ET0101,Asgede Tsimbila,ET010105,42020.41278,13193.10327,5625.491421,641.2509405,12870.78405,8904.824316,784.9587889,7042.650173,42020.41278,-,418,858,"42,020","43,166","27,591","41,374","41,996"
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,North Western,ET0101,Tselemti,ET010106,23636.41821,7240.203108,3298.983904,348.906688,7170.999798,5150.156459,427.1682533,3683.911096,16020,"23,590","7,895","1,444","2,168","2,127","16,020","1,447","23,636"
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,North Western,ET0101,Sheraro Town,ET010107,462,116.3276338,135.8880743,1.905270707,117.263427,87.98132729,2.634266909,2.34,11.75,-,184,-,462,460,10,460,460
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,North Western,ET0101,Shire,ET010108,6104,2053.753208,521.6315618,44.4189045,1428.636735,2014.597267,40.96232365,50.51,170.375,-,"4,455",474,"6,104","6,101",167,"6,101","6,101"
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,Central,ET0102,Mereb Lehe,ET010201,5476,1650.326055,828.6589744,86.52793062,1598.614565,1227.900679,83.97179612,432.53,5476,-,"2,727","3,893","3,167","3,167","5,476","3,167","4,417"
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,Central,ET0102,Aheferom,ET010202,30838.77717,9248.14776,3877.079528,508.4169207,9864.035599,6635.587833,705.5095254,4431.932118,14952.8,"25,954","11,832","5,081","4,898","4,898","14,953","4,898","4,898"
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,Central,ET0102,Werei Leke,ET010203,21193.6,6341.914464,2956.877668,298.6049926,6558.330815,4643.148759,394.7233023,3396.822,21193.6,508,"15,627","1,324","1,294","1,294","21,194","1,277","1,294"
Ethiopia,ET,19/08/19,27/08/19,Tigray,ET01,Central,ET0102,Adwa,ET010204,401.375,88.26884044,119.4494256,5.246553123,87.29907268,95.48835171,5.622756459,23.92375,401.375,351,"11,862",406,401,343,401,343,351
